,hotel_name,hotel_locality,hotel_rating,review_date,review_rating,user_location
175,Angel Hotel,Beit Jala,4.0,2014,4.0, India
176,Angel Hotel,Beit Jala,4.0,2014,3.0,Cincinnati
177,Angel Hotel,Beit Jala,4.0,2014,4.0, Texas
178,Angel Hotel,Beit Jala,4.0,2014,5.0, United Kingdom
179,Angel Hotel,Beit Jala,4.0,2014,5.0, Illinois
180,Angel Hotel,Beit Jala,4.0,2014,5.0, Israel
181,Angel Hotel,Beit Jala,4.0,2014,5.0, United Kingdom
182,Angel Hotel,Beit Jala,4.0,2014,4.0, Ohio
183,Angel Hotel,Beit Jala,4.0,2014,5.0, Chile
184,Angel Hotel,Beit Jala,4.0,2014,4.0,North Potomac
185,Angel Hotel,Beit Jala,4.0,2014,2.0, Virginia
186,Angel Hotel,Beit Jala,4.0,2013,4.0, Texas
187,Angel Hotel,Beit Jala,4.0,2013,4.0, United Kingdom
188,Angel Hotel,Beit Jala,4.0,2013,5.0,London
189,Angel Hotel,Beit Jala,4.0,2013,4.0,Russia
190,Angel Hotel,Beit Jala,4.0,2013,5.0, United Kingdom
191,Angel Hotel,Beit Jala,4.0,2013,4.0, Georgia
192,Angel Hotel,Beit Jala,4.0,2013,4.0,ELLINGTON
193,Angel Hotel,Beit Jala,4.0,2013,5.0, Jordan
194,Angel Hotel,Beit Jala,4.0,2013,5.0, South Carolina
195,Angel Hotel,Beit Jala,4.0,2012,5.0, United Kingdom
196,Angel Hotel,Beit Jala,4.0,2012,5.0, Alberta
197,Angel Hotel,Beit Jala,4.0,2012,5.0, Romania
198,Angel Hotel,Beit Jala,4.0,2011,5.0, Slovakia
199,Angel Hotel,Beit Jala,4.0,2011,5.0, Jordan
200,Angel Hotel,Beit Jala,4.0,2011,4.0, Denmark
201,Murad Tourist Resort,Bethlehem,3.0,2017,1.0, Israel
202,Murad Tourist Resort,Bethlehem,3.0,2016,5.0,Jerusalem
203,Murad Tourist Resort,Bethlehem,3.0,2016,4.0, India
204,Murad Tourist Resort,Bethlehem,3.0,2014,3.0, Oregon
205,Murad Tourist Resort,Bethlehem,3.0,2013,3.0, Massachusetts
206,Murad Tourist Resort,Bethlehem,3.0,2013,3.0,Orange County
207,Murad Tourist Resort,Bethlehem,3.0,2011,5.0,Ipswich
208,Murad Tourist Resort,Bethlehem,3.0,2011,4.0, Hungary
209,Murad Tourist Resort,Bethlehem,3.0,2011,5.0, United Kingdom
210,Murad Tourist Resort,Bethlehem,3.0,2011,5.0, United Kingdom
211,Murad Tourist Resort,Bethlehem,3.0,2010,1.0,palestine
212,Grand Hotel Bethlehem,Bethlehem,3.0,2017,4.0,Scotland
213,Grand Hotel Bethlehem,Bethlehem,3.0,2016,4.0, CA
214,Grand Hotel Bethlehem,Bethlehem,3.0,2016,1.0, United Kingdom
215,Grand Hotel Bethlehem,Bethlehem,3.0,2015,4.0, Maryland
216,Grand Hotel Bethlehem,Bethlehem,3.0,2015,5.0, Virginia
217,Grand Hotel Bethlehem,Bethlehem,3.0,2015,4.0, United Arab Emirates
218,Nativity Bells Hotel,Bethlehem,3.0,2016,3.0, India
219,Nativity Bells Hotel,Bethlehem,3.0,2016,5.0, New York
220,Nativity Bells Hotel,Bethlehem,3.0,2015,4.0, Sri Lanka
221,Nativity Bells Hotel,Bethlehem,3.0,2014,5.0, Poland
222,Nativity Bells Hotel,Bethlehem,3.0,2014,4.0, India
223,Nativity Bells Hotel,Bethlehem,3.0,2014,1.0,United States
224,Nativity Bells Hotel,Bethlehem,3.0,2013,5.0, Australia
225,Nativity Bells Hotel,Bethlehem,3.0,2013,5.0, Israel
226,Nativity Bells Hotel,Bethlehem,3.0,2013,5.0, Czech Republic
227,Nativity Bells Hotel,Bethlehem,3.0,2013,3.0, India
228,Nativity Bells Hotel,Bethlehem,3.0,2013,4.0, India
229,Nativity Bells Hotel,Bethlehem,3.0,2013,3.0, pembs
230,Nativity Bells Hotel,Bethlehem,3.0,2013,4.0, India
231,Nativity Bells Hotel,Bethlehem,3.0,2012,4.0, Colorado
232,Nativity Bells Hotel,Bethlehem,3.0,2012,4.0,California
233,Nativity Bells Hotel,Bethlehem,3.0,2012,5.0,Bucharest
234,Nativity Bells Hotel,Bethlehem,3.0,2011,4.0, Romania
235,Bethlehem Star Hotel,Bethlehem,3.0,2018,4.0, New York
236,Bethlehem Star Hotel,Bethlehem,3.0,2017,3.0, India
237,Bethlehem Star Hotel,Bethlehem,3.0,2017,2.0, United Kingdom
238,Bethlehem Star Hotel,Bethlehem,3.0,2017,2.0,Southampton
239,Bethlehem Star Hotel,Bethlehem,3.0,2017,3.0,Galway
240,Bethlehem Star Hotel,Bethlehem,3.0,2017,5.0, United Kingdom
241,Bethlehem Star Hotel,Bethlehem,3.0,2017,4.0, Italy
242,Bethlehem Star Hotel,Bethlehem,3.0,2016,4.0, Ireland
243,Bethlehem Star Hotel,Bethlehem,3.0,2016,4.0, India
244,Bethlehem Star Hotel,Bethlehem,3.0,2016,3.0, Canada
245,Bethlehem Star Hotel,Bethlehem,3.0,2016,4.0, Sweden
246,Bethlehem Star Hotel,Bethlehem,3.0,2016,2.0, Ireland
247,Bethlehem Star Hotel,Bethlehem,3.0,2015,5.0, Missouri
248,Bethlehem Star Hotel,Bethlehem,3.0,2015,4.0, United Kingdom
249,Bethlehem Star Hotel,Bethlehem,3.0,2015,4.0, Sri Lanka
250,Bethlehem Star Hotel,Bethlehem,3.0,2015,5.0, Ireland
251,Bethlehem Star Hotel,Bethlehem,3.0,2015,3.0,Ireland
252,Bethlehem Star Hotel,Bethlehem,3.0,2015,4.0,Birmingham
253,Bethlehem Star Hotel,Bethlehem,3.0,2015,4.0, United Kingdom
254,Bethlehem Star Hotel,Bethlehem,3.0,2014,3.0, Ireland
255,Bethlehem Star Hotel,Bethlehem,3.0,2014,4.0, California
256,Bethlehem Star Hotel,Bethlehem,3.0,2014,5.0, Palestinian Territories
257,Bethlehem Star Hotel,Bethlehem,3.0,2014,5.0, New York
258,Bethlehem Star Hotel,Bethlehem,3.0,2014,4.0, United Kingdom
259,Bethlehem Star Hotel,Bethlehem,3.0,2014,4.0, Slovakia
260,Bethlehem Star Hotel,Bethlehem,3.0,2013,4.0,manchester
261,Bethlehem Star Hotel,Bethlehem,3.0,2013,3.0,coorg
262,Bethlehem Star Hotel,Bethlehem,3.0,2013,4.0, Poland
263,Bethlehem Star Hotel,Bethlehem,3.0,2012,2.0, Switzerland
264,Bethlehem Star Hotel,Bethlehem,3.0,2012,4.0,Rijeka
265,Bethlehem Star Hotel,Bethlehem,3.0,2011,4.0, United Kingdom
266,Bethlehem Star Hotel,Bethlehem,3.0,2011,4.0,West Mids
267,Bethlehem Star Hotel,Bethlehem,3.0,2011,3.0,London
268,Bethlehem Star Hotel,Bethlehem,3.0,2010,4.0, California
269,Bethlehem Star Hotel,Bethlehem,3.0,2010,4.0, United Kingdom
270,Orient Palace Hotel,Bethlehem,3.0,2017,5.0, Australia
271,Orient Palace Hotel,Bethlehem,3.0,2017,3.0,Singapore
272,Orient Palace Hotel,Bethlehem,3.0,2017,3.0, Australia
273,Orient Palace Hotel,Bethlehem,3.0,2017,1.0,ottawa
274,Orient Palace Hotel,Bethlehem,3.0,2016,5.0,Nebraska
275,Orient Palace Hotel,Bethlehem,3.0,2016,4.0, Illinois
276,Orient Palace Hotel,Bethlehem,3.0,2016,4.0, United Kingdom
277,Orient Palace Hotel,Bethlehem,3.0,2016,3.0, California
278,Orient Palace Hotel,Bethlehem,3.0,2016,4.0, United Kingdom
279,Orient Palace Hotel,Bethlehem,3.0,2016,5.0, Singapore
280,Orient Palace Hotel,Bethlehem,3.0,2016,5.0, California
281,Orient Palace Hotel,Bethlehem,3.0,2015,1.0, Canada
282,Blue Beach Resort,Gaza City,3.0,2016,4.0, Egypt
283,Blue Beach Resort,Gaza City,3.0,2015,2.0, Egypt
284,Blue Beach Resort,Gaza City,3.0,2015,1.0, New York
285,Hotel Al Qasr,Nablus,4.0,2016,3.0, United Kingdom
286,Hotel Al Qasr,Nablus,4.0,2016,4.0, United Kingdom
287,Hotel Al Qasr,Nablus,4.0,2016,4.0,Geneva
288,Hotel Al Qasr,Nablus,4.0,2016,4.0, Saudi Arabia
289,Hotel Al Qasr,Nablus,4.0,2015,5.0, MA
290,Hotel Al Qasr,Nablus,4.0,2015,5.0, United Kingdom
291,Hotel Al Qasr,Nablus,4.0,2015,3.0, Italy
292,Hotel Al Qasr,Nablus,4.0,2015,4.0, Washington
293,Hotel Al Qasr,Nablus,4.0,2014,5.0,Palestinian Territories
294,Hotel Al Qasr,Nablus,4.0,2013,4.0, Italy
295,Hotel Al Qasr,Nablus,4.0,2013,5.0,uk
296,Commodore Hotel Gaza,Gaza City,4.0,2016,4.0,East Jerusalem
297,Commodore Hotel Gaza,Gaza City,4.0,2011,4.0, Canada
298,Commodore Hotel Gaza,Gaza City,4.0,2010,5.0,Sydney
299,Commodore Hotel Gaza,Gaza City,4.0,2010,5.0,Melbourne
300,ArcMed Hotels Al Mashtal Gaza,Gaza City,3.0,2017,5.0,Nablus 
301,ArcMed Hotels Al Mashtal Gaza,Gaza City,3.0,2017,5.0, California
302,ArcMed Hotels Al Mashtal Gaza,Gaza City,3.0,2016,1.0, Egypt
303,ArcMed Hotels Al Mashtal Gaza,Gaza City,3.0,2016,5.0, Washington
304,ArcMed Hotels Al Mashtal Gaza,Gaza City,3.0,2013,4.0,London
305,ArcMed Hotels Al Mashtal Gaza,Gaza City,3.0,2012,3.0, United Kingdom
306,ArcMed Hotels Al Mashtal Gaza,Gaza City,3.0,2012,3.0, Israel
