,Form,Topic Category,Rank,Type,Polarity
15688,staff,concept,5,Top>Organization,P
15689,area,concept,6,Top>Location,P
15690,swimming-pool,concept,7,Top>Location>Facility,P
15691,room,concept,8,Top>Location>Facility,P+
15693,Wi-Fi,concept,10,Top>OtherEntity>MethodSystem,P
15694,pool,concept,11,Top>Location>GeographicalEntity>WaterForm,P
15695,room,concept,12,Top>Location>Facility,P+
15697,hotel,concept,1,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,P
15698,star,concept,2,Top>OtherEntity>Vocation,P
15699,compass,concept,3,Top>Product,P
15700,food,concept,4,Top>Product>Food,P+
15701,candy,concept,5,Top>Product>Food>CookedPlate,P
15703,star,concept,7,Top>Location>AstralBody>Star,P
15704,sweet,concept,8,Top>Product>Food>CookedPlate,P
15705,tavern,concept,9,Top>Location>Facility,P
15710,buffet,concept,3,Top,N
15713,friendly,concept,6,Top,P
15715,staff,concept,8,Top>Organization,P+
15716,meal,concept,9,Top>Product>Food,N
15717,room,concept,10,Top>Location>Facility,P
15718,room,concept,11,Top>Location>Facility,P
15720,selection,concept,1,Top>Organization,P
15722,bed,concept,3,Top>Location>GeographicalEntity>WaterForm>Channel,P
15724,cake,concept,5,Top>Product>Food>CookedPlate,P+
15728,cup,concept,9,Top>Event>Occasion>Games,P
15732,breakfast,concept,13,Top>Event,P
15733,friendly,concept,14,Top,P
15734,place,concept,15,Top>Location,P
15735,store,concept,16,Top>Location>Facility>Market,P+
15736,breakfast,concept,17,Top>Product>Food,P
15737,child,concept,18,Top>Person,P
15739,staff,concept,20,Top>Organization,P
15740,friendly,concept,21,Top,P
15742,mattress,concept,23,Top>Product,P
15743,request,concept,24,Top,P
15749,hotel,concept,2,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,P
15750,location,concept,3,Top>Location>Address,P
15752,location,concept,5,Top>Location,P
15754,area,concept,7,Top>Location,P+
15761,garlic,concept,6,Top>LivingThing>Flora,N
15762,pickle,concept,7,Top>Product>Food>FruitOrVegetable,N
15764,rice,concept,9,Top>Product>Food>FruitOrVegetable,N
15766,rice,concept,11,Top>LivingThing>Flora,N
15768,welcome,concept,1,Top>OtherEntity,P
15769,reception,concept,2,Top,P
15770,bathroom,concept,3,Top>Location>Facility,P+
15771,room,concept,4,Top>Location>Facility,P+
15772,modest,concept,5,Top,P+
15773,room,concept,6,Top>Location>Facility,P+
15774,Ahmad,entity,1,Top>Person>FirstName,P+
15775,hotel,concept,1,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,P+
15777,feature,concept,3,Top>OtherEntity,P+
15779,restaurant,concept,5,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Restaurants,P+
15780,buffet,concept,6,Top,P+
15782,report,concept,8,Top>Product>CulturalProduct>Broadcast,P+
15783,food,concept,9,Top>Product>Food,P+
15784,dinner,concept,10,Top>Product>Food,P+
15785,service,concept,11,Top>Product>ProfessionalService,P+
15786,meal,concept,12,Top>Product>Food,P+
15788,balcony,concept,14,Top>Location,P
15789,room,concept,15,Top>Location>Facility,NEU
15791,dinner,concept,17,Top>Event,P+
15792,room,concept,18,Top>Location>Facility,NEU
15794,hotel,concept,2,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,P
15795,food,concept,3,Top>Product>Food,P
15796,staff,concept,4,Top>Organization,P
15797,Wi-Fi,concept,5,Top>OtherEntity>MethodSystem,P
15802,hotel,concept,2,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,P
15803,location,concept,3,Top>Location>Address,P
15805,location,concept,5,Top>Location,P
15807,area,concept,7,Top>Location,P+
15814,garlic,concept,6,Top>LivingThing>Flora,N
15815,pickle,concept,7,Top>Product>Food>FruitOrVegetable,N
15817,rice,concept,9,Top>Product>Food>FruitOrVegetable,N
15819,rice,concept,11,Top>LivingThing>Flora,N
15821,welcome,concept,1,Top>OtherEntity,P
15822,reception,concept,2,Top,P
15823,bathroom,concept,3,Top>Location>Facility,P+
15824,room,concept,4,Top>Location>Facility,P+
15825,modest,concept,5,Top,P+
15826,room,concept,6,Top>Location>Facility,P+
15827,Ahmad,entity,1,Top>Person>FirstName,P+
15828,hotel,concept,1,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,P+
15830,feature,concept,3,Top>OtherEntity,P+
15832,restaurant,concept,5,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Restaurants,P+
15833,buffet,concept,6,Top,P+
15835,report,concept,8,Top>Product>CulturalProduct>Broadcast,P+
15836,food,concept,9,Top>Product>Food,P+
15837,dinner,concept,10,Top>Product>Food,P+
15838,service,concept,11,Top>Product>ProfessionalService,P+
15839,meal,concept,12,Top>Product>Food,P+
15841,balcony,concept,14,Top>Location,P
15842,room,concept,15,Top>Location>Facility,NEU
15844,dinner,concept,17,Top>Event,P+
15845,room,concept,18,Top>Location>Facility,NEU
15847,hotel,concept,2,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,P
15848,food,concept,3,Top>Product>Food,P
15849,staff,concept,4,Top>Organization,P
15850,Wi-Fi,concept,5,Top>OtherEntity>MethodSystem,P
15855,hotel,concept,2,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,P
15856,location,concept,3,Top>Location>Address,P
15858,location,concept,5,Top>Location,P
15860,area,concept,7,Top>Location,P+
15867,garlic,concept,6,Top>LivingThing>Flora,N
15868,pickle,concept,7,Top>Product>Food>FruitOrVegetable,N
15870,rice,concept,9,Top>Product>Food>FruitOrVegetable,N
15872,rice,concept,11,Top>LivingThing>Flora,N
15874,welcome,concept,1,Top>OtherEntity,P
15875,reception,concept,2,Top,P
15876,bathroom,concept,3,Top>Location>Facility,P+
15877,room,concept,4,Top>Location>Facility,P+
15878,modest,concept,5,Top,P+
15879,room,concept,6,Top>Location>Facility,P+
15880,Ahmad,entity,1,Top>Person>FirstName,P+
15881,hotel,concept,1,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,P+
15883,feature,concept,3,Top>OtherEntity,P+
15885,restaurant,concept,5,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Restaurants,P+
15886,buffet,concept,6,Top,P+
15888,report,concept,8,Top>Product>CulturalProduct>Broadcast,P+
15889,food,concept,9,Top>Product>Food,P+
15890,dinner,concept,10,Top>Product>Food,P+
15891,service,concept,11,Top>Product>ProfessionalService,P+
15892,meal,concept,12,Top>Product>Food,P+
15894,balcony,concept,14,Top>Location,P
15895,room,concept,15,Top>Location>Facility,NEU
15897,dinner,concept,17,Top>Event,P+
15898,room,concept,18,Top>Location>Facility,NEU
15900,hotel,concept,2,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,P
15901,food,concept,3,Top>Product>Food,P
15902,staff,concept,4,Top>Organization,P
15903,Wi-Fi,concept,5,Top>OtherEntity>MethodSystem,P
15908,hotel,concept,2,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,P
15909,location,concept,3,Top>Location>Address,P
15911,location,concept,5,Top>Location,P
15913,area,concept,7,Top>Location,P+
15920,garlic,concept,6,Top>LivingThing>Flora,N
15921,pickle,concept,7,Top>Product>Food>FruitOrVegetable,N
15923,rice,concept,9,Top>Product>Food>FruitOrVegetable,N
15925,rice,concept,11,Top>LivingThing>Flora,N
15927,welcome,concept,1,Top>OtherEntity,P
15928,reception,concept,2,Top,P
15929,bathroom,concept,3,Top>Location>Facility,P+
15930,room,concept,4,Top>Location>Facility,P+
15931,modest,concept,5,Top,P+
15932,room,concept,6,Top>Location>Facility,P+
15933,Ahmad,entity,1,Top>Person>FirstName,P+
15934,hotel,concept,1,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,P+
15936,feature,concept,3,Top>OtherEntity,P+
15938,restaurant,concept,5,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Restaurants,P+
15939,buffet,concept,6,Top,P+
15941,report,concept,8,Top>Product>CulturalProduct>Broadcast,P+
15942,food,concept,9,Top>Product>Food,P+
15943,dinner,concept,10,Top>Product>Food,P+
15944,service,concept,11,Top>Product>ProfessionalService,P+
15945,meal,concept,12,Top>Product>Food,P+
15947,balcony,concept,14,Top>Location,P
15948,room,concept,15,Top>Location>Facility,NEU
15950,dinner,concept,17,Top>Event,P+
15951,room,concept,18,Top>Location>Facility,NEU
15953,hotel,concept,2,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,P
15954,food,concept,3,Top>Product>Food,P
15955,staff,concept,4,Top>Organization,P
15956,Wi-Fi,concept,5,Top>OtherEntity>MethodSystem,P
15958,chance,concept,2,Top>OtherEntity,N
15960,food,concept,4,Top>Product>Food,P+
15961,staff,concept,5,Top>Organization,P+
